cod_ibge;municipio;qtd_leitos;qtd_uti
150510;Óbidos;38;0
150520;Oeiras do Pará;9;0
150530;Oriximiná;42;0
150540;Ourém;11;0
150543;Ourilândia do Norte;38;0
150548;Pacajá;24;0
150549;Palestina do Pará;12;0
150550;Paragominas;115;20
150553;Parauapebas;187;9
150555;Pau-d'Arco;12;0
150563;Piçarra;13;0
150565;Placas;17;0
150570;Ponta de Pedras;14;0
150580;Portel;16;0
150590;Porto de Moz;26;0
150600;Prainha;11;0
150613;Redenção;175;16
150616;Rio Maria;34;0
150618;Rondon do Pará;87;0
150619;Rurópolis;17;0
150620;Salinópolis;28;0
150630;Salvaterra;11;0
150640;Santa Cruz do Arari;5;0
150650;Santa Izabel do Pará;20;0
150655;Santa Luzia do Pará;8;0
150658;Santa Maria das Barreiras;15;0
150660;Santa Maria do Pará;22;0
150670;Santana do Araguaia;35;0
150680;Santarém;312;27
150700;Santo Antônio do Tauá;59;0
150710;São Caetano de Odivelas;9;0
150715;São Domingos do Araguaia;13;0
150720;São Domingos do Capim;18;0
150730;São Félix do Xingu;85;0
150745;São Geraldo do Araguaia;25;0
150747;São João de Pirabas;14;0
150750;São João do Araguaia;11;0
150760;São Miguel do Guamá;36;0
150770;São Sebastião da Boa Vista;18;0
150775;Sapucaia;7;0
150780;Senador José Porfírio;11;0
150790;Soure;33;0
150795;Tailândia;27;0
150797;Terra Santa;9;0
150800;Tomé-Açu;96;0
150803;Tracuateua;9;0
150805;Trairão;9;0
150808;Tucumã;52;0
150810;Tucuruí;171;11
150812;Ulianópolis;59;0
150815;Uruará;38;0
150820;Vigia;22;0
150830;Viseu;34;0
150835;Vitória do Xingu;24;0
150840;Xinguara;102;0
160005;Serra do Navio;16;0
160010;Amapá;20;0
160015;Pedra Branca do Amapari;8;0
160020;Calçoene;16;0
160023;Ferreira Gomes;6;0
160027;Laranjal do Jari;33;0
160030;Macapá;444;35
160040;Mazagão;6;0
160050;Oiapoque;20;0
160053;Porto Grande;24;0
160060;Santana;49;6
160070;Tartarugalzinho;10;0
160080;Vitória do Jari;5;0
170070;Alvorada;14;0
170100;Ananás;5;0
170190;Araguacema;10;0
170200;Araguaçu;15;0
170210;Araguaína;395;35
170220;Araguatins;11;0
170230;Arapoema;13;0
170240;Arraias;19;0
170255;Augustinópolis;52;0
170370;Brejinho de Nazaré;2;0
170550;Colinas do Tocantins;30;0
170610;Cristalândia;2;0
170700;Dianópolis;23;0
170710;Divinópolis do Tocantins;11;0
170720;Dois Irmãos do Tocantins;9;0
170730;Dueré;2;0
170765;Figueirópolis;1;0
170820;Formoso do Araguaia;23;0
170900;Goiatins;6;0
170930;Guaraí;30;0
170950;Gurupi;177;22
171050;Itacajá;12;0
171190;Lagoa da Confusão;16;0
171320;Miracema do Tocantins;39;0
171330;Miranorte;15;0
171360;Monte do Carmo;3;0
171420;Natividade;3;0
171430;Nazaré;22;0
171575;Palmeirópolis;14;0
171610;Paraíso do Tocantins;78;0
171620;Paranã;17;0
171650;Pedro Afonso;22;0
171660;Peixe;32;0
171670;Colméia;12;0
171700;Pindorama do Tocantins;2;0
171750;Pium;2;0
171790;Ponte Alta do Tocantins;3;0
171820;Porto Nacional;123;0
172065;Silvanópolis;14;0
172090;Taguatinga;26;0
172100;Palmas;689;72
172120;Tocantinópolis;16;0
172210;Xambioá;14;0
210005;Açailândia;147;0
210010;Afonso Cunha;13;0
210020;Alcântara;14;0
210030;Aldeias Altas;16;0
210043;Alto Alegre do Maranhão;34;0
210047;Alto Alegre do Pindaré;25;0
210050;Alto Parnaíba;22;0
210060;Amarante do Maranhão;37;0
210070;Anajatuba;14;0
210080;Anapurus;7;0
210083;Apicum-Açu;9;0
210087;Araguanã;11;0
210090;Araioses;77;0
210095;Arame;30;0
210100;Arari;30;0
210110;Axixá;15;0
210120;Bacabal;176;10
210130;Bacuri;15;0
210140;Balsas;105;10
210150;Barão de Grajaú;14;0
210160;Barra do Corda;90;0
210170;Barreirinhas;45;0
210173;Belágua;8;0
210177;Bela Vista do Maranhão;9;0
210180;Benedito Leite;9;0
210190;Bequimão;11;0
210193;Bernardo do Mearim;9;0
210197;Boa Vista do Gurupi;10;0
210200;Bom Jardim;19;0
210203;Bom Jesus das Selvas;12;0
210210;Brejo;20;0
210220;Buriti;21;0
210230;Buriti Bravo;31;0
210232;Buriticupu;40;0
210240;Cajapió;11;0
210250;Cajari;12;0
210255;Campestre do Maranhão;15;0
210260;Cândido Mendes;6;0
210270;Cantanhede;28;0
210275;Capinzal do Norte;7;0
210280;Carolina;12;0
210290;Carutapera;27;0
210300;Caxias;224;20
210310;Cedral;11;0
210312;Central do Maranhão;12;0
210320;Chapadinha;115;10
210325;Cidelândia;10;0
210330;Codó;58;0
210340;Coelho Neto;65;0
210350;Colinas;54;0
210355;Conceição do Lago Açu;8;0
210360;Coroatá;51;10
210370;Cururupu;68;0
210375;Davinópolis;8;0
210380;Dom Pedro;20;0
210390;Duque Bacelar;10;0
210400;Esperantinópolis;24;0
210405;Estreito;33;0
210407;Feira Nova do Maranhão;8;0
210408;Fernando Falcão;10;0
210409;Formosa da Serra Negra;6;0
210410;Fortaleza dos Nogueiras;15;0
210420;Fortuna;8;0
210440;Gonçalves Dias;14;0
210450;Governador Archer;14;0
210455;Governador Edison Lobão;16;0
210460;Governador Eugênio Barros;14;0
210462;Governador Luiz Rocha;10;0
210465;Governador Newton Bello;13;0
210467;Governador Nunes Freire;100;0
210470;Graça Aranha;11;0
210480;Grajaú;110;0
210490;Guimarães;26;0
210500;Humberto de Campos;15;0
210510;Icatu;15;0
210515;Igarapé do Meio;22;0
210520;Igarapé Grande;22;0
210530;Imperatriz;577;104
210535;Itaipava do Grajaú;16;0
210540;Itapecuru-Mirim;47;0
210542;Itinga do Maranhão;36;0
210545;Jatobá;10;0
210547;Jenipapo dos Vieiras;8;0
210550;João Lisboa;41;0
210560;Joselândia;13;0
210565;Junco do Maranhão;8;0
210570;Lago da Pedra;66;0
210580;Lago do Junco;12;0
210590;Lago Verde;24;0
210592;Lagoa do Mato;12;0
210594;Lago dos Rodrigues;12;0
210596;Lagoa Grande do Maranhão;12;0
210600;Lima Campos;23;0
210610;Loreto;13;0
210620;Luís Domingues;8;0
210630;Magalhães de Almeida;15;0
210632;Maracaçumé;8;0
210637;Maranhãozinho;12;0
210640;Mata Roma;12;0
210650;Matinha;11;0
210660;Matões;35;0
210663;Matões do Norte;31;0
210667;Milagres do Maranhão;4;0
210670;Mirador;14;0
210675;Miranda do Norte;27;0
210680;Mirinzal;14;0
210690;Monção;42;0
210700;Montes Altos;17;0
210710;Morros;15;0
210720;Nina Rodrigues;5;0
210725;Nova Colinas;6;0
210730;Nova Iorque;9;0
210735;Nova Olinda do Maranhão;25;0
210740;Olho d'Água das Cunhãs;13;0
210745;Olinda Nova do Maranhão;26;0
210750;Paço do Lumiar;11;0
210760;Palmeirândia;20;0
210770;Paraibano;35;0
210780;Parnarama;31;0
210790;Passagem Franca;79;0
210800;Pastos Bons;12;0
210805;Paulino Neves;13;0
210810;Paulo Ramos;23;0
210820;Pedreiras;57;0
210825;Pedro do Rosário;18;0
210830;Penalva;34;0
210840;Peri Mirim;18;0
210845;Peritoró;52;0
210850;Pindaré-Mirim;29;0
210860;Pinheiro;170;10
210870;Pio XII;15;0
210880;Pirapemas;13;0
210890;Poção de Pedras;28;0
210900;Porto Franco;50;0
210910;Presidente Dutra;126;11
210920;Presidente Juscelino;8;0
210927;Presidente Sarney;9;0
210930;Presidente Vargas;9;0
210940;Primeira Cruz;13;0
210945;Raposa;5;0
210950;Riachão;38;0
210955;Ribamar Fiquene;15;0
210960;Rosário;65;0
210970;Sambaíba;8;0
210975;Santa Filomena do Maranhão;10;0
210980;Santa Helena;33;0
210990;Santa Inês;203;10
211000;Santa Luzia;49;0
211003;Santa Luzia do Paruá;52;0
211010;Santa Quitéria do Maranhão;29;0
211020;Santa Rita;24;0
211023;Santana do Maranhão;11;0
211027;Santo Amaro do Maranhão;8;0
211030;Santo Antônio dos Lopes;19;0
211040;São Benedito do Rio Preto;20;0
211050;São Bento;29;0
211060;São Bernardo;13;0
211065;São Domingos do Azeitão;11;0
211070;São Domingos do Maranhão;20;0
211080;São Félix de Balsas;11;0
211085;São Francisco do Brejão;12;0
211090;São Francisco do Maranhão;14;0
211100;São João Batista;25;0
211102;São João do Caru;21;0
211105;São João do Paraíso;13;0
211107;São João do Soter;9;0
211110;São João dos Patos;29;0
211120;São José de Ribamar;98;20
211125;São José dos Basílios;8;0
211130;São Luís;2063;320
211140;São Luís Gonzaga do Maranhão;13;0
211150;São Mateus do Maranhão;26;0
211153;São Pedro da Água Branca;14;0
211157;São Pedro dos Crentes;11;0
211160;São Raimundo das Mangabeiras;9;0
211163;São Raimundo do Doca Bezerra;9;0
211170;São Vicente Ferrer;34;0
211172;Satubinha;22;0
211174;Senador Alexandre Costa;25;0
211178;Serrano do Maranhão;11;0
211180;Sítio Novo;19;0
211190;Sucupira do Norte;13;0
211195;Sucupira do Riachão;10;0
211200;Tasso Fragoso;9;0
211210;Timbiras;38;0
211220;Timon;80;0
211223;Trizidela do Vale;17;0
211227;Tufilândia;13;0
211230;Tuntum;29;0
211240;Turiaçu;42;0
211250;Tutóia;21;0
211260;Urbano Santos;19;0
211270;Vargem Grande;21;0
211280;Viana;23;0
211285;Vila Nova dos Martírios;9;0
211290;Vitória do Mearim;25;0
211300;Vitorino Freire;22;0
211400;Zé Doca;30;0
220010;Agricolândia;8;0
220020;Água Branca;13;0
220025;Alagoinha do Piauí;3;0
220030;Alto Longá;10;0
220040;Altos;26;0
220050;Amarante;33;0
220060;Angical do Piauí;6;0
220070;Anísio de Abreu;4;0
220090;Aroazes;2;0
220100;Arraial;4;0
220110;Avelino Lopes;10;0
220115;Baixa Grande do Ribeiro;9;0
220120;Barras;48;0
220140;Barro Duro;13;0
220150;Batalha;12;0
220160;Beneditinos;9;0
220170;Bertolínia;4;0
220180;Bocaina;6;0
220190;Bom Jesus;27;0
220191;Bom Princípio do Piauí;2;0
220196;Brasileira;5;0
220200;Buriti dos Lopes;30;0
220202;Buriti dos Montes;4;0
220220;Campo Maior;162;0
