country,state,city,ibge_code_city,ibge_desc_city,ibge_desc_state,datasus_id_drs,datasus_desc_drs
Brazil,MA,São Luís/MA,211130,São Luís,MA,19,Sem div.adm.estadual MA
Brazil,SP,São Paulo/SP,355030,São Paulo,SP,159,Grande São Paulo
Brazil,RS,Serafina Corrêa/RS,432040,Serafina Corrêa,RS,221,Passo Fundo
Brazil,MG,Sete Lagoas/MG,316720,Sete Lagoas,MG,131,SRS Sete Lagoas
Brazil,MS,Sidrolândia/MS,500790,Sidrolândia,MS,246,Campo Grande
Brazil,CE,Sobral/CE,231290,Sobral,CE,43,Sobral
Brazil,SP,Suzano/SP,355250,Suzano,SP,159,Grande São Paulo
Brazil,RS,Taquara/RS,432120,Taquara,RS,216,Porto Alegre-01
Brazil,SP,Taubaté/SP,355410,Taubaté,SP,175,Taubaté
Brazil,PI,Teresina/PI,221100,Teresina,PI,23,IV CRS Teresina
Brazil,RS,Torres/RS,432150,Torres,RS,233,Osório
Brazil,TOTAL,TOTAL,0,TOTAL,TOTAL,0,TOTAL
Brazil,SC,Tubarão/SC,421870,Tubarão,SC,198,Tubarão
Brazil,MG,Uberaba/MG,317010,Uberaba,MG,130,SRS Uberaba
Brazil,MG,Uberlândia/MG,317020,Uberlândia,MG,129,SRS Uberlândia
Brazil,ES,Vila Velha/ES,320520,Vila Velha,ES,148,Sem div.adm.estadual ES
Brazil,ES,Vitória/ES,320530,Vitória,ES,148,Sem div.adm.estadual ES
