,uf,city,estimated_population
848,PI,Santo Antônio dos Milagres,2161
849,PI,Santo Inácio do Piauí,3798
850,PI,São Braz do Piauí,4448
851,PI,São Félix do Piauí,2942
852,PI,São Francisco de Assis do Piauí,5755
853,PI,São Francisco do Piauí,6423
854,PI,São Gonçalo do Gurguéia,3041
855,PI,São Gonçalo do Piauí,5015
856,PI,São João da Canabrava,4608
857,PI,São João da Fronteira,6042
858,PI,São João da Serra,6139
859,PI,São João da Varjota,4840
860,PI,São João do Arraial,7989
861,PI,São João do Piauí,20601
862,PI,São José do Divino,5346
863,PI,São José do Peixe,3745
864,PI,São José do Piauí,6705
865,PI,São Julião,6363
866,PI,São Lourenço do Piauí,4573
867,PI,São Luis do Piauí,2644
868,PI,São Miguel da Baixa Grande,2452
869,PI,São Miguel do Fidalgo,3039
870,PI,São Miguel do Tapuio,17662
871,PI,São Pedro do Piauí,14291
872,PI,São Raimundo Nonato,34710
873,PI,Sebastião Barros,3469
874,PI,Sebastião Leal,4294
875,PI,Sigefredo Pacheco,10041
876,PI,Simões,14633
877,PI,Simplício Mendes,12711
878,PI,Socorro do Piauí,4569
879,PI,Sussuapara,6730
880,PI,Tamboril do Piauí,2919
881,PI,Tanque do Piauí,2765
882,PI,Teresina,864845
883,PI,União,44485
884,PI,Uruçuí,21558
885,PI,Valença do Piauí,20918
886,PI,Várzea Branca,4947
887,PI,Várzea Grande,4391
888,PI,Vera Mendes,3077
889,PI,Vila Nova do Piauí,2971
890,PI,Wall Ferraz,4462
891,CE,Abaiara,11737
892,CE,Acarape,14929
893,CE,Acaraú,62641
894,CE,Acopiara,54270
895,CE,Aiuaba,17399
896,CE,Alcântaras,11714
897,CE,Altaneira,7586
898,CE,Alto Santo,17146
899,CE,Amontada,43452
900,CE,Antonina do Norte,7353
901,CE,Apuiarés,14600
902,CE,Aquiraz,80271
903,CE,Aracati,74547
904,CE,Aracoiaba,26469
905,CE,Ararendá,10935
906,CE,Araripe,21600
907,CE,Aratuba,11847
908,CE,Arneiroz,7840
909,CE,Assaré,23417
910,CE,Aurora,24654
911,CE,Baixio,6288
912,CE,Banabuiú,18197
913,CE,Barbalha,59732
914,CE,Barreira,22425
915,CE,Barro,22680
916,CE,Barroquinha,15017
917,CE,Baturité,35750
918,CE,Beberibe,53573
919,CE,Bela Cruz,32591
920,CE,Boa Viagem,54470
921,CE,Brejo Santo,49477
922,CE,Camocim,63661
923,CE,Campos Sales,27426
924,CE,Canindé,76997
925,CE,Capistrano,17738
926,CE,Caridade,22547
927,CE,Cariré,18448
928,CE,Caririaçu,26965
929,CE,Cariús,18699
930,CE,Carnaubal,17606
931,CE,Cascavel,71743
932,CE,Catarina,20698
933,CE,Catunda,10342
934,CE,Caucaia,361400
935,CE,Cedro,25557
936,CE,Chaval,13069
937,CE,Choró,13521
938,CE,Chorozinho,20264
939,CE,Coreaú,23136
940,CE,Crateús,75074
941,CE,Crato,132123
942,CE,Croatá,18063
943,CE,Cruz,24827
944,CE,Deputado Irapuan Pinheiro,9625
945,CE,Ererê,7198
946,CE,Eusébio,53618
947,CE,Farias Brito,19450
948,CE,Forquilha,24218
949,CE,Fortaleza,2669342
950,CE,Fortim,16480
951,CE,Frecheirinha,14072
952,CE,General Sampaio,7618
953,CE,Graça,14399
954,CE,Granja,54748
955,CE,Granjeiro,4844
956,CE,Groaíras,11068
957,CE,Guaiúba,26064
958,CE,Guaraciaba do Norte,40642
959,CE,Guaramiranga,5193
960,CE,Hidrolândia,19978
961,CE,Horizonte,67337
962,CE,Ibaretama,13353
963,CE,Ibiapina,24997
964,CE,Ibicuitinga,12525
965,CE,Icapuí,19934
966,CE,Icó,68018
967,CE,Iguatu,102498
968,CE,Independência,26178
969,CE,Ipaporanga,11593
970,CE,Ipaumirim,12463
971,CE,Ipu,41964
972,CE,Ipueiras,38166
973,CE,Iracema,14297
974,CE,Irauçuba,24156
975,CE,Itaiçaba,7827
976,CE,Itaitinga,37980
977,CE,Itapajé,52675
978,CE,Itapipoca,129358
979,CE,Itapiúna,20382
980,CE,Itarema,41826
981,CE,Itatira,21647
982,CE,Jaguaretama,18162
983,CE,Jaguaribara,11401
984,CE,Jaguaribe,34682
985,CE,Jaguaruana,33705
986,CE,Jardim,27174
987,CE,Jati,8111
988,CE,Jijoca de Jericoacoara,19816
989,CE,Juazeiro do Norte,274207
990,CE,Jucás,24833
991,CE,Lavras da Mangabeira,31508
992,CE,Limoeiro do Norte,59540
993,CE,Madalena,19691
994,CE,Maracanaú,227886
995,CE,Maranguape,128978
996,CE,Marco,27361
997,CE,Martinópole,11233
998,CE,Massapê,38737
999,CE,Mauriti,47962
1000,CE,Meruoca,15057
1001,CE,Milagres,27512
1002,CE,Milhã,13155
1003,CE,Miraíma,13818
1004,CE,Missão Velha,36442
1005,CE,Mombaça,43797
1006,CE,Monsenhor Tabosa,17234
1007,CE,Morada Nova,61890
1008,CE,Moraújo,8724
1009,CE,Morrinhos,22534
1010,CE,Mucambo,14537
1011,CE,Mulungu,10823
1012,CE,Nova Olinda,15565
1013,CE,Nova Russas,32328
1014,CE,Novo Oriente,28607
1015,CE,Ocara,25703
1016,CE,Orós,21427
1017,CE,Pacajus,72203
1018,CE,Pacatuba,83432
1019,CE,Pacoti,12261
1020,CE,Pacujá,6533
1021,CE,Palhano,9386
1022,CE,Palmácia,13322
1023,CE,Paracuru,35076
1024,CE,Paraipaba,32744
1025,CE,Parambu,31521
1026,CE,Paramoti,12226
1027,CE,Pedra Branca,43258
1028,CE,Penaforte,9077
1029,CE,Pentecoste,37751
1030,CE,Pereiro,16307
1031,CE,Pindoretama,20567
1032,CE,Piquet Carneiro,16959
1033,CE,Pires Ferreira,10951
1034,CE,Poranga,12336
1035,CE,Porteiras,14996
1036,CE,Potengi,11045
1037,CE,Potiretama,6419
1038,CE,Quiterianópolis,21084
1039,CE,Quixadá,87728
1040,CE,Quixelô,16178
1041,CE,Quixeramobim,81082
1042,CE,Quixeré,22149
1043,CE,Redenção,29053
1044,CE,Reriutaba,18491
1045,CE,Russas,78194
1046,CE,Saboeiro,15819
1047,CE,Salitre,16554
1048,CE,Santana do Acaraú,32452
1049,CE,Santana do Cariri,17700
1050,CE,Santa Quitéria,43703
1051,CE,São Benedito,47903
1052,CE,São Gonçalo do Amarante,48422
1053,CE,São João do Jaguaribe,7645
1054,CE,São Luís do Curu,13000
1055,CE,Senador Pompeu,25496
1056,CE,Senador Sá,7623
1057,CE,Sobral,208935
1058,CE,Solonópole,18324
1059,CE,Tabuleiro do Norte,30697
1060,CE,Tamboril,26251
1061,CE,Tarrafas,8592
1062,CE,Tauá,58859
1063,CE,Tejuçuoca,19187
1064,CE,Tianguá,75946
1065,CE,Trairi,55918
1066,CE,Tururu,16271
1067,CE,Ubajara,34792
1068,CE,Umari,7733
1069,CE,Umirim,19825
1070,CE,Uruburetama,21850
1071,CE,Uruoca,13840
1072,CE,Varjota,18420
1073,CE,Várzea Alegre,40721
1074,CE,Viçosa do Ceará,60889
1075,RN,Acari,11136
1076,RN,Açu,58017
1077,RN,Afonso Bezerra,11035
1078,RN,Água Nova,3252
1079,RN,Alexandria,13577
1080,RN,Almino Afonso,4735
1081,RN,Alto do Rodrigues,14529
1082,RN,Angicos,11714
1083,RN,Antônio Martins,7145
1084,RN,Apodi,35845
1085,RN,Areia Branca,27774
1086,RN,Arês,14306
1087,RN,Augusto Severo,9655
1088,RN,Baía Formosa,9271
1089,RN,Baraúna,28374
1090,RN,Barcelona,3998
1091,RN,Bento Fernandes,5497
1092,RN,Bodó,2223
1093,RN,Bom Jesus,10210
1094,RN,Brejinho,12699
1095,RN,Caiçara do Norte,6549
1096,RN,Caiçara do Rio do Vento,3684
1097,RN,Caicó,67952
1098,RN,Campo Redondo,11217
1099,RN,Canguaretama,34276
1100,RN,Caraúbas,20493
1101,RN,Carnaúba dos Dantas,8180
1102,RN,Carnaubais,10759
1103,RN,Ceará-Mirim,73497
1104,RN,Cerro Corá,11179
1105,RN,Coronel Ezequiel,5506
1106,RN,Coronel João Pessoa,4912
1107,RN,Cruzeta,7998
1108,RN,Currais Novos,44786
1109,RN,Doutor Severiano,7076
1110,RN,Parnamirim,261469
1111,RN,Encanto,5638
1112,RN,Equador,6045
1113,RN,Espírito Santo,10505
1114,RN,Extremoz,28583
1115,RN,Felipe Guerra,5985
1116,RN,Fernando Pedroza,3054
1117,RN,Florânia,9116
1118,RN,Francisco Dantas,2824
1119,RN,Frutuoso Gomes,4068
1120,RN,Galinhos,2786
1121,RN,Goianinha,26328
1122,RN,Governador Dix-Sept Rosado,13037
1123,RN,Grossos,10383
1124,RN,Guamaré,15659
1125,RN,Ielmo Marinho,13766
1126,RN,Ipanguaçu,15491
1127,RN,Ipueira,2241
1128,RN,Itajá,7548
1129,RN,Itaú,5878
1130,RN,Jaçanã,9133
1131,RN,Jandaíra,6878
1132,RN,Janduís,5268
1133,RN,Januário Cicco,10181
1134,RN,Japi,5055
1135,RN,Jardim de Angicos,2612
1136,RN,Jardim de Piranhas,14837
1137,RN,Jardim do Seridó,12396
1138,RN,João Câmara,34955
1139,RN,João Dias,2654
1140,RN,José da Penha,5951
1141,RN,Jucurutu,18295
1142,RN,Jundiá,3898
1143,RN,Lagoa d'Anta,6769
1144,RN,Lagoa de Pedras,7544
1145,RN,Lagoa de Velhos,2732
1146,RN,Lagoa Nova,15614
1147,RN,Lagoa Salgada,8245
1148,RN,Lajes,11277
1149,RN,Lajes Pintadas,4759
1150,RN,Lucrécia,3996
1151,RN,Luís Gomes,10116
1152,RN,Macaíba,80792
1153,RN,Macau,31814
1154,RN,Major Sales,4020
1155,RN,Marcelino Vieira,8347
1156,RN,Martins,8725
1157,RN,Maxaranguape,12371
1158,RN,Messias Targino,4601
1159,RN,Montanhas,11251
1160,RN,Monte Alegre,22451
1161,RN,Monte das Gameleiras,2105
1162,RN,Mossoró,297378
1163,RN,Natal,884122
1164,RN,Nísia Floresta,27602
1165,RN,Nova Cruz,37343
1166,RN,Olho-d'Água do Borges,4258
1167,RN,Ouro Branco,4812
1168,RN,Paraná,4254
1169,RN,Paraú,3768
1170,RN,Parazinho,5237
1171,RN,Parelhas,21477
1172,RN,Rio do Fogo,10848
1173,RN,Passa e Fica,13277
1174,RN,Passagem,3089
1175,RN,Patu,12755
1176,RN,Santa Maria,5551
1177,RN,Pau dos Ferros,30394
1178,RN,Pedra Grande,3237
1179,RN,Pedra Preta,2458
1180,RN,Pedro Avelino,6716
1181,RN,Pedro Velho,14806
1182,RN,Pendências,15129
1183,RN,Pilões,3838
1184,RN,Poço Branco,15413
1185,RN,Portalegre,7867
1186,RN,Porto do Mangue,6437
1187,RN,Serra Caiada,10395
1188,RN,Pureza,9621
1189,RN,Rafael Fernandes,5098
1190,RN,Rafael Godeiro,3201
1191,RN,Riacho da Cruz,3579
1192,RN,Riacho de Santana,4204
1193,RN,Riachuelo,8128
1194,RN,Rodolfo Fernandes,4467
1195,RN,Tibau,4106
1196,RN,Ruy Barbosa,3600
1197,RN,Santa Cruz,39674
1198,RN,Santana do Matos,12791
1199,RN,Santana do Seridó,2680
1200,RN,Santo Antônio,24136
1201,RN,São Bento do Norte,2747
1202,RN,São Bento do Trairí,4449
1203,RN,São Fernando,3584
1204,RN,São Francisco do Oeste,4228
1205,RN,São Gonçalo do Amarante,102400
1206,RN,São João do Sabugi,6193
1207,RN,São José de Mipibu,43899
1208,RN,São José do Campestre,12856
1209,RN,São José do Seridó,4634
1210,RN,São Miguel,23519
1211,RN,São Miguel do Gostoso,10282
1212,RN,São Paulo do Potengi,17579
1213,RN,São Pedro,5971
1214,RN,São Rafael,8202
1215,RN,São Tomé,11055
1216,RN,São Vicente,6424
1217,RN,Senador Elói de Souza,6086
1218,RN,Senador Georgino Avelino,4440
1219,RN,Serra de São Bento,5762
1220,RN,Serra do Mel,11938
1221,RN,Serra Negra do Norte,8078
1222,RN,Serrinha,6229
1223,RN,Serrinha dos Pintos,4800
1224,RN,Severiano Melo,2440
1225,RN,Sítio Novo,5522
1226,RN,Taboleiro Grande,2566
1227,RN,Taipu,12279
1228,RN,Tangará,15727
1229,RN,Tenente Ananias,10786
1230,RN,Tenente Laurentino Cruz,5952
1231,RN,Tibau do Sul,14180
1232,RN,Timbaúba dos Batistas,2414
1233,RN,Touros,33287
1234,RN,Triunfo Potiguar,3237
1235,RN,Umarizal,10555
1236,RN,Upanema,14659
1237,RN,Várzea,5500
1238,RN,Venha-Ver,4177
1239,RN,Vera Cruz,12481
1240,RN,Viçosa,1718
1241,RN,Vila Flor,3170
1242,PB,Água Branca,10234
1243,PB,Aguiar,5640
1244,PB,Alagoa Grande,28496
1245,PB,Alagoa Nova,20849
1246,PB,Alagoinha,14489
1247,PB,Alcantil,5492
1248,PB,Algodão de Jandaíra,2567
1249,PB,Alhandra,19588
1250,PB,São João do Rio do Peixe,18034
1251,PB,Amparo,2238
1252,PB,Aparecida,8347
1253,PB,Araçagi,16987
1254,PB,Arara,13470
1255,PB,Araruna,20312
1256,PB,Areia,22819
1257,PB,Areia de Baraúnas,2128
1258,PB,Areial,6998
1259,PB,Aroeiras,19153
1260,PB,Assunção,3990
1261,PB,Baía da Traição,8993
1262,PB,Bananeiras,21318
1263,PB,Baraúna,4892
1264,PB,Barra de Santana,8359
1265,PB,Barra de Santa Rosa,15384
1266,PB,Barra de São Miguel,6036
1267,PB,Bayeux,96880
1268,PB,Belém,17676
1269,PB,Belém do Brejo do Cruz,7342
1270,PB,Bernardino Batista,3501
1271,PB,Boa Ventura,5366
1272,PB,Boa Vista,7051
1273,PB,Bom Jesus,2561
1274,PB,Bom Sucesso,4975
1275,PB,Bonito de Santa Fé,11917
1276,PB,Boqueirão,17804
1277,PB,Igaracy,6117
1278,PB,Borborema,5263
1279,PB,Brejo do Cruz,14122
1280,PB,Brejo dos Santos,6449
1281,PB,Caaporã,21828
1282,PB,Cabaceiras,5611
1283,PB,Cabedelo,67736
1284,PB,Cachoeira dos Índios,10244
1285,PB,Cacimba de Areia,3682
1286,PB,Cacimba de Dentro,17187
1287,PB,Cacimbas,7173
1288,PB,Caiçara,7201
1289,PB,Cajazeiras,61993
1290,PB,Cajazeirinhas,3193
1291,PB,Caldas Brandão,6014
1292,PB,Camalaú,6013
1293,PB,Campina Grande,409731
1294,PB,Capim,6523
1295,PB,Caraúbas,4162
1296,PB,Carrapateira,2659
1297,PB,Casserengue,7468
1298,PB,Catingueira,4932
1299,PB,Catolé do Rocha,30546
1300,PB,Caturité,4852
1301,PB,Conceição,18982
1302,PB,Condado,6654
1303,PB,Conde,24670
1304,PB,Congo,4786
1305,PB,Coremas,15445
1306,PB,Coxixola,1921
1307,PB,Cruz do Espírito Santo,17319
1308,PB,Cubati,7797
1309,PB,Cuité,20338
1310,PB,Cuitegi,6803
1311,PB,Cuité de Mamanguape,6353
1312,PB,Curral de Cima,5227
1313,PB,Curral Velho,2516
1314,PB,Damião,5330
1315,PB,Desterro,8297
1316,PB,Vista Serrana,3798
1317,PB,Diamante,6552
1318,PB,Dona Inês,10453
1319,PB,Duas Estradas,3596
1320,PB,Emas,3522
1321,PB,Esperança,33007
1322,PB,Fagundes,11253
1323,PB,Frei Martinho,2989
1324,PB,Gado Bravo,8316
1325,PB,Guarabira,58833
1326,PB,Gurinhém,14129
1327,PB,Gurjão,3428
1328,PB,Ibiara,5929
1329,PB,Imaculada,11819
1330,PB,Ingá,18103
1331,PB,Itabaiana,24477
1332,PB,Itaporanga,24692
1333,PB,Itapororoca,18664
1334,PB,Itatuba,10962
1335,PB,Jacaraú,14431
1336,PB,Jericó,7739
1337,PB,João Pessoa,809015
1338,PB,Juarez Távora,7936
1339,PB,Juazeirinho,18171
1340,PB,Junco do Seridó,7150
1341,PB,Juripiranga,10756
1342,PB,Juru,9867
1343,PB,Lagoa,4666
1344,PB,Lagoa de Dentro,7719
1345,PB,Lagoa Seca,27503
1346,PB,Lastro,2737
1347,PB,Livramento,7256
1348,PB,Logradouro,4332
1349,PB,Lucena,13080
1350,PB,Mãe d'Água,4009
1351,PB,Malta,5759
1352,PB,Mamanguape,44882
1353,PB,Manaíra,10955
1354,PB,Marcação,8558
1355,PB,Mari,21837
1356,PB,Marizópolis,6617
1357,PB,Massaranduba,13918
1358,PB,Mataraca,8434
1359,PB,Matinhas,4500
1360,PB,Mato Grosso,2908
1361,PB,Maturéia,6569
1362,PB,Mogeiro,13284
1363,PB,Montadas,5669
1364,PB,Monte Horebe,4816
1365,PB,Monteiro,33222
1366,PB,Mulungu,9902
1367,PB,Natuba,10454
1368,PB,Nazarezinho,7301
1369,PB,Nova Floresta,10638
1370,PB,Nova Olinda,5949
1371,PB,Nova Palmeira,4906
1372,PB,Olho d'Água,6526
1373,PB,Olivedos,3932
1374,PB,Ouro Velho,3039
1375,PB,Parari,1771
1376,PB,Passagem,2419
1377,PB,Patos,107605
1378,PB,Paulista,12347
1379,PB,Pedra Branca,3801
1380,PB,Pedra Lavrada,7843
1381,PB,Pedras de Fogo,28458
1382,PB,Piancó,16075
1383,PB,Picuí,18703
1384,PB,Pilar,11917
1385,PB,Pilões,6635
1386,PB,Pilõezinhos,4976
1387,PB,Pirpirituba,10579
1388,PB,Pitimbu,19065
1389,PB,Pocinhos,18564
1390,PB,Poço Dantas,3888
1391,PB,Poço de José de Moura,4307
1392,PB,Pombal,32801
1393,PB,Prata,4209
1394,PB,Princesa Isabel,23345
1395,PB,Puxinanã,13680
1396,PB,Queimadas,43967
1397,PB,Quixaba,1956
1398,PB,Remígio,19621
1399,PB,Pedro Régis,6089
1400,PB,Riachão,3588
1401,PB,Riachão do Bacamarte,4521
1402,PB,Riachão do Poço,4509
1403,PB,Riacho de Santo Antônio,1948
1404,PB,Riacho dos Cavalos,8526
1405,PB,Rio Tinto,24176
1406,PB,Salgadinho,3885
1407,PB,Salgado de São Félix,12140
1408,PB,Santa Cecília,6558
1409,PB,Santa Cruz,6583
1410,PB,Santa Helena,5889
1411,PB,Santa Inês,3595
1412,PB,Santa Luzia,15382
1413,PB,Santana de Mangueira,5162
1414,PB,Santana dos Garrotes,7031
1415,PB,Joca Claudino,2636
1416,PB,Santa Rita,136586
1417,PB,Santa Teresinha,4573
1418,PB,Santo André,2521
1419,PB,São Bento,34031
1420,PB,São Bentinho,4529
1421,PB,São Domingos do Cariri,2615
1422,PB,São Domingos,3073
1423,PB,São Francisco,3392
1424,PB,São João do Cariri,4199
1425,PB,São João do Tigre,4422
1426,PB,São José da Lagoa Tapada,7630
1427,PB,São José de Caiana,6359
1428,PB,São José de Espinharas,4682
1429,PB,São José dos Ramos,5957
1430,PB,São José de Piranhas,20251
1431,PB,São José de Princesa,4003
1432,PB,São José do Bonfim,3557
1433,PB,São José do Brejo do Cruz,1801
1434,PB,São José do Sabugi,4141
1435,PB,São José dos Cordeiros,3628
1436,PB,São Mamede,7724
1437,PB,São Miguel de Taipu,7368
1438,PB,São Sebastião de Lagoa de Roça,11661
1439,PB,São Sebastião do Umbuzeiro,3489
1440,PB,Sapé,52625
1441,PB,São Vicente do Seridó,10775
1442,PB,Serra Branca,13699
1443,PB,Serra da Raiz,3148
1444,PB,Serra Grande,2909
1445,PB,Serra Redonda,7041
1446,PB,Serraria,6099
1447,PB,Sertãozinho,5024
1448,PB,Sobrado,7783
1449,PB,Solânea,26407
1450,PB,Soledade,14989
1451,PB,Sossêgo,3555
1452,PB,Sousa,69444
1453,PB,Sumé,16966
1454,PB,Tacima,10911
1455,PB,Taperoá,15376
1456,PB,Tavares,14726
1457,PB,Teixeira,15161
1458,PB,Tenório,3058
1459,PB,Triunfo,9455
1460,PB,Uiraúna,15242
1461,PB,Umbuzeiro,9907
1462,PB,Várzea,2810
1463,PB,Vieirópolis,5348
1464,PB,Zabelê,2240
1465,PE,Abreu e Lima,99990
1466,PE,Afogados da Ingazeira,37259
1467,PE,Afrânio,19635
1468,PE,Agrestina,24885
1469,PE,Água Preta,36771
1470,PE,Águas Belas,43443
1471,PE,Alagoinha,14636
1472,PE,Aliança,38386
1473,PE,Altinho,22972
1474,PE,Amaraji,22829
1475,PE,Angelim,11150
1476,PE,Araçoiaba,20524
1477,PE,Araripina,84418
1478,PE,Arcoverde,74338
1479,PE,Barra de Guabiraba,14385
1480,PE,Barreiros,42659
1481,PE,Belém de Maria,12073
1482,PE,Belém do São Francisco,20729
1483,PE,Belo Jardim,76439
1484,PE,Betânia,12719
1485,PE,Bezerros,60798
1486,PE,Bodocó,38146
1487,PE,Bom Conselho,48554
1488,PE,Bom Jardim,39184
1489,PE,Bonito,38134
1490,PE,Brejão,8993
1491,PE,Brejinho,7487
1492,PE,Brejo da Madre de Deus,50742
1493,PE,Buenos Aires,13155
1494,PE,Buíque,58378
1495,PE,Cabo de Santo Agostinho,207048
1496,PE,Cabrobó,34221
1497,PE,Cachoeirinha,20380
1498,PE,Caetés,28739
1499,PE,Calçado,11053
1500,PE,Calumbi,5750
1501,PE,Camaragibe,157828
1502,PE,Camocim de São Félix,18765
1503,PE,Camutanga,8551
1504,PE,Canhotinho,24804
1505,PE,Capoeiras,20048
1506,PE,Carnaíba,19551
1507,PE,Carnaubeira da Penha,12932
1508,PE,Carpina,83641
1509,PE,Caruaru,361118
1510,PE,Casinhas,14341
1511,PE,Catende,42892
1512,PE,Cedro,11807
1513,PE,Chã de Alegria,13518
1514,PE,Chã Grande,21698
1515,PE,Condado,26421
1516,PE,Correntes,18207
1517,PE,Cortês,12578
1518,PE,Cumaru,10906
1519,PE,Cupira,24107
1520,PE,Custódia,37111
1521,PE,Dormentes,18908
1522,PE,Escada,68875
1523,PE,Exu,31825
1524,PE,Feira Nova,22131
1525,PE,Fernando de Noronha,3061
1526,PE,Ferreiros,12123
1527,PE,Flores,22624
1528,PE,Floresta,32873
1529,PE,Frei Miguelinho,15457
1530,PE,Gameleira,31052
1531,PE,Garanhuns,139788
1532,PE,Glória do Goitá,30604
1533,PE,Goiana,79758
1534,PE,Granito,7486
1535,PE,Gravatá,84074
1536,PE,Iati,19197
1537,PE,Ibimirim,29235
1538,PE,Ibirajuba,7762
1539,PE,Igarassu,117019
1540,PE,Iguaracy,12228
1541,PE,Inajá,23247
1542,PE,Ingazeira,4548
1543,PE,Ipojuca,96204
1544,PE,Ipubi,30854
1545,PE,Itacuruba,4918
1546,PE,Itaíba,26349
1547,PE,Ilha de Itamaracá,26258
1548,PE,Itambé,36447
1549,PE,Itapetim,13616
1550,PE,Itapissuma,26651
1551,PE,Itaquitinga,16955
1552,PE,Jaboatão dos Guararapes,702298
1553,PE,Jaqueira,11656
1554,PE,Jataúba,17150
1555,PE,Jatobá,14796
1556,PE,João Alfredo,33822
1557,PE,Joaquim Nabuco,16023
1558,PE,Jucati,11424
1559,PE,Jupi,14836
1560,PE,Jurema,15378
1561,PE,Lagoa do Carro,18071
1562,PE,Lagoa de Itaenga,21429
1563,PE,Lagoa do Ouro,13145
1564,PE,Lagoa dos Gatos,16290
1565,PE,Lagoa Grande,25601
1566,PE,Lajedo,40288
1567,PE,Limoeiro,56250
1568,PE,Macaparana,25376
1569,PE,Machados,16088
1570,PE,Manari,21434
1571,PE,Maraial,11345
1572,PE,Mirandiba,15390
1573,PE,Moreno,62784
1574,PE,Nazaré da Mata,32471
1575,PE,Olinda,392482
1576,PE,Orobó,23884
1577,PE,Orocó,14991
1578,PE,Ouricuri,69459
1579,PE,Palmares,63250
1580,PE,Palmeirina,7693
1581,PE,Panelas,26474
1582,PE,Paranatama,11523
1583,PE,Parnamirim,22010
1584,PE,Passira,28933
1585,PE,Paudalho,56506
1586,PE,Paulista,331774
1587,PE,Pedra,22617
1588,PE,Pesqueira,67395
1589,PE,Petrolândia,36548
1590,PE,Petrolina,349145
1591,PE,Poção,11302
1592,PE,Pombos,27091
1593,PE,Primavera,14966
1594,PE,Quipapá,26037
1595,PE,Quixaba,6813
1596,PE,Recife,1645727
1597,PE,Riacho das Almas,20546
1598,PE,Ribeirão,47415
1599,PE,Rio Formoso,23535
1600,PE,Sairé,9932
1601,PE,Salgadinho,10919
1602,PE,Salgueiro,60930
1603,PE,Saloá,15843
1604,PE,Sanharó,26462
1605,PE,Santa Cruz,15398
1606,PE,Santa Cruz da Baixa Verde,12592
1607,PE,Santa Cruz do Capibaribe,107937
1608,PE,Santa Filomena,14477
1609,PE,Santa Maria da Boa Vista,41931
1610,PE,Santa Maria do Cambucá,14137
1611,PE,Santa Terezinha,11815
1612,PE,São Benedito do Sul,15895
1613,PE,São Bento do Una,59504
1614,PE,São Caitano,37245
1615,PE,São João,22793
1616,PE,São Joaquim do Monte,21356
1617,PE,São José da Coroa Grande,21298
1618,PE,São José do Belmonte,33959
1619,PE,São José do Egito,33951
1620,PE,São Lourenço da Mata,113230
1621,PE,São Vicente Ferrer,18018
1622,PE,Serra Talhada,86350
1623,PE,Serrita,19165
1624,PE,Sertânia,35907
1625,PE,Sirinhaém,45865
1626,PE,Moreilândia,11270
1627,PE,Solidão,6007
1628,PE,Surubim,65089
1629,PE,Tabira,28534
1630,PE,Tacaimbó,12874
1631,PE,Tacaratu,25765
1632,PE,Tamandaré,23388
1633,PE,Taquaritinga do Norte,28775
1634,PE,Terezinha,7169
1635,PE,Terra Nova,10096
1636,PE,Timbaúba,53022
1637,PE,Toritama,45219
1638,PE,Tracunhaém,13769
1639,PE,Trindade,30521
1640,PE,Triunfo,15254
1641,PE,Tupanatinga,27304
1642,PE,Tuparetama,8202
1643,PE,Venturosa,18482
1644,PE,Verdejante,9534
1645,PE,Vertente do Lério,7618
1646,PE,Vertentes,20731
1647,PE,Vicência,32643
1648,PE,Vitória de Santo Antão,138757
1649,PE,Xexéu,14725
1650,AL,Água Branca,20196
1651,AL,Anadia,17545
1652,AL,Arapiraca,231747
1653,AL,Atalaia,47185
1654,AL,Barra de Santo Antônio,15932
1655,AL,Barra de São Miguel,8322
1656,AL,Batalha,18232
1657,AL,Belém,4344
1658,AL,Belo Monte,6704
1659,AL,Boca da Mata,27281
1660,AL,Branquinha,10494
1661,AL,Cacimbinhas,10858
1662,AL,Cajueiro,21264
1663,AL,Campestre,6936
1664,AL,Campo Alegre,57063
1665,AL,Campo Grande,9558
1666,AL,Canapi,17722
1667,AL,Capela,17053
1668,AL,Carneiros,9081
1669,AL,Chã Preta,7311
1670,AL,Coité do Nóia,10693
1671,AL,Colônia Leopoldina,21698
1672,AL,Coqueiro Seco,5845
1673,AL,Coruripe,56933
1674,AL,Craíbas,24219
1675,AL,Delmiro Gouveia,52016
1676,AL,Dois Riachos,11075
1677,AL,Estrela de Alagoas,18205
1678,AL,Feira Grande,22166
1679,AL,Feliz Deserto,4754
1680,AL,Flexeiras,12790
1681,AL,Girau do Ponciano,40917
1682,AL,Ibateguara,15616
1683,AL,Igaci,25631
1684,AL,Igreja Nova,24499
1685,AL,Inhapi,18385
1686,AL,Jacaré dos Homens,5253
1687,AL,Jacuípe,7021
1688,AL,Japaratinga,8361
1689,AL,Jaramataia,5770
1690,AL,Jequiá da Praia,11580
1691,AL,Joaquim Gomes,23993
1692,AL,Jundiá,4155
1693,AL,Junqueiro,24727
1694,AL,Lagoa da Canoa,17852
1695,AL,Limoeiro de Anadia,28635
1696,AL,Maceió,1018948
1697,AL,Major Isidoro,19804
1698,AL,Maragogi,32704
1699,AL,Maravilha,9163
1700,AL,Marechal Deodoro,51901
1701,AL,Maribondo,13264
1702,AL,Mar Vermelho,3514
1703,AL,Mata Grande,25216
1704,AL,Matriz de Camaragibe,24642
1705,AL,Messias,17856
1706,AL,Minador do Negrão,5329
1707,AL,Monteirópolis,7159
1708,AL,Murici,28236
1709,AL,Novo Lino,12690
1710,AL,Olho d'Água das Flores,21688
1711,AL,Olho d'Água do Casado,9373
1712,AL,Olho d'Água Grande,5123
1713,AL,Olivença,11624
