codigo_IBGE;hospital_rate
355030;0,039421563
330455;0,04436268
530010;0,031726711
292740;0,035457441
230440;0,034467196
310620;0,04085395
130260;0,027174054
410690;0,038880083
261160;0,03897738
520870;0,035405836
150140;0,033913072
431490;0,044633354
351880;0,032910575
350950;0,040603946
211130;0,030738419
330490;0,040044355
270430;0,032549418
330170;0,035774969
500270;0,035516146
240810;0,036016966
221100;0,032485167
354870;0,037298093
330350;0,036381774
250750;0,035876912
354990;0,036317104
354780;0,042646227
354340;0,04052683
260790;0,033982451
353440;0,035863113
317020;0,036885221
355220;0,037999539
311860;0,035241059
280030;0,033968039
291080;0,032449983
510340;0,032713863
420910;0,034875141
520140;0,028390907
411370;0,040271567
313670;0,042622147
150080;0,028928892
110020;0,027387927
320500;0,030871111
330330;0,04865365
330045;0,034574272
430510;0,038185098
330100;0,038359044
160030;0,024296572
420540;0,039634775
320520;0,037918665
352940;0,033310514
330510;0,038214415
354980;0,043206716
353060;0,036120337
310670;0,030913437
354850;0,051486558
351380;0,032413545
411520;0,040146053
352590;0,042259197
250400;0,036100898
314330;0,033264509
120040;0,027167978
353870;0,040281814
351060;0,032443555
140010;0,025013472
260960;0,038447349
520110;0,035372816
320130;0,033790245
350600;0,041275989
352310;0,028535105
355100;0,037705973
320530;0,04030333
230370;0,029464048
260410;0,033787278
420240;0,036727843
351620;0,038096458
411990;0,035557596
261110;0,028129136
430460;0,038529535
431440;0,044091191
293330;0,033911445
315460;0,030404699
317010;0,040678339
261070;0,036148456
410480;0,034040176
354100;0,038865788
412550;0,031275692
351870;0,034337357
355410;0,038493769
330390;0,043184322
352690;0,039435817
150680;0,027801335
290570;0,028064594
172100;0,024483765
355250;0,033391219
240800;0,033601077
355280;0,032514902
510840;0,030056068
355240;0,033441817
431690;0,042027081
430920;0,037071481
312770;0,037627441
150420;0,024693741
230730;0,033306232
350570;0,031300343
351500;0,03014146
330630;0,04194039
313130;0,035976186
240325;0,030911778
210530;0,030259268
410830;0,032012785
330240;0,032443758
432300;0,037312471
354890;0,04145852
352050;0,036980745
351300;0,033009286
431340;0,038413626
421660;0,036282982
330250;0,03625049
410580;0,030571654
330190;0,036472628
316720;0,036447197
350160;0,04206134
352900;0,042220959
312230;0,039050085
352250;0,02869708
431870;0,03685062
350320;0,043178782
521880;0,031242415
352440;0,037949245
510760;0,032418198
270030;0,031550886
351907;0,032093296
354140;0,042305234
230765;0,030071619
500370;0,033602188
420420;0,032901641
330070;0,036906797
420820;0,034445726
315780;0,032803037
291840;0,029797448
420460;0,035977369
291480;0,036732806
520025;0,022767683
431560;0,042050034
430060;0,033263315
320120;0,037831266
231290;0,030696278
521250;0,02761036
150553;0,021339427
260290;0,031584711
354390;0,041820271
330010;0,033253567
431410;0,038902464
150240;0,027967758
291920;0,031179599
350280;0,043797597
351570;0,030356027
354580;0,038711066
330340;0,043785625
330040;0,040370768
280480;0,026186396
330580;0,040741913
410940;0,034041875
170210;0,028642549
312980;0,029778485
420890;0,033356143
211120;0,02694875
330285;0,038631184
351630;0,028686498
352220;0,030442193
352390;0,03717203
320320;0,032426695
421190;0,032616055
211220;0,030128302
350760;0,040437857
522185;0,02587669
353800;0,036323278
315180;0,041863972
210300;0,032408679
352230;0,03704568
330320;0,042009127
291360;0,035177643
330270;0,041862483
354880;0,052181072
293135;0,031805662
260345;0,034846329
150010;0,02653822
420930;0,037578599
291800;0,036473462
290320;0,027564414
411820;0,032964804
351640;0,031599518
220770;0,034586779
314800;0,039715731
353070;0,039159427
290070;0,035067625
315250;0,038014325
330452;0,034240067
330414;0,034036714
352530;0,041268303
292530;0,025869018
350750;0,041307156
410180;0,030937558
510790;0,028065081
350410;0,04015857
420200;0,039768182
432000;0,036635148
412770;0,036092802
316860;0,038625091
260600;0,034307598
354730;0,03250961
261640;0,035017146
150210;0,02532896
