CNES;IBGE;leito_sus_cirurgicos;leito_sus_clinicos;leito_sus_gineco_obs;leito_sus_isolamento;leito_sus_outrasespec;leito_sus_pediatricos;leito_sus_uci;leito_sus_uti
2000121;120060;4;14;14;0;2;8;0;0
2000393;120070;0;19;4;0;0;7;0;0
2017768;130002;2;8;8;0;0;4;0;0
2016648;130006;4;13;6;1;0;7;0;0
2017679;130008;6;6;4;0;0;4;0;0
2717379;130010;5;6;6;0;0;6;0;0
2013282;130014;8;16;8;2;0;10;0;0
2016672;130020;7;10;8;1;0;5;0;0
2013045;130030;3;12;8;2;0;8;0;0
2015242;130040;4;12;8;0;1;5;0;0
2012022;130050;6;10;8;0;0;7;0;0
2016974;130060;2;12;15;4;0;5;0;0
2016605;130063;1;2;6;1;0;4;0;0
2016354;130068;2;8;7;0;0;5;0;0
2012499;130070;2;32;8;0;1;18;0;0
2012383;130080;8;10;10;2;0;10;0;0
2016656;130083;3;7;4;1;0;4;2;0
2016419;130090;0;7;5;0;0;4;0;0
2017555;130100;6;22;12;0;0;10;0;0
2017652;130110;4;6;5;0;0;5;0;0
2018136;130120;15;24;30;3;0;32;0;0
2019523;130130;10;10;14;0;3;10;0;0
2016397;130140;11;18;27;0;4;20;0;0
2708892;130150;1;10;7;0;0;6;0;0
2017717;130160;6;29;8;2;0;15;0;0
2017997;130165;6;8;4;1;0;2;0;0
2017016;130170;10;8;10;2;2;8;0;0
2013614;130180;3;12;7;0;0;4;0;0
2012839;130185;15;7;6;0;0;4;0;0
2016923;130190;25;36;25;0;2;20;0;0
2013568;130195;4;6;2;0;0;3;0;0
2708906;130200;3;6;4;0;0;5;2;0
2013495;130210;7;2;6;0;0;5;0;0
2708914;130220;3;7;3;0;0;7;0;0
2011875;130230;2;8;4;2;0;4;0;0
2012618;130240;8;13;20;2;0;15;1;0
2013258;130250;12;21;23;0;0;16;9;0
2011891;130255;2;12;3;0;0;3;0;0
2012030;130260;15;2;0;2;0;55;0;10
