Time,Occupied_beds,ICU_Occupied_beds,Median_beds,ICU_Median_beds,Beds_5_percent,ICU_Beds_5_percent,Beds_95_percent,ICU_Beds_95_percent,Queue,Median_queue,Queue_5_percent,Queue_95_percent,ICU_Queue,ICU_Median_queue,ICU_Queue_5_percent,ICU_Queue_95_percent
67,150,19,150.0,12.0,150.0,7.95,150.0,16.049999999999983,1687,2642.0,615.2,4630.2,0,0.0,0.0,0.0
68,150,17,150.0,12.0,150.0,7.95,150.0,16.049999999999983,1722,2642.0,615.2,4630.2,0,0.0,0.0,0.0
69,150,16,150.0,12.0,150.0,7.95,150.0,16.049999999999983,1743,2642.0,615.2,4630.2,0,0.0,0.0,0.0
70,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,1770,2642.0,615.2,4630.2,0,0.0,0.0,0.0
71,150,17,150.0,12.0,150.0,7.95,150.0,16.049999999999983,1795,2642.0,615.2,4630.2,0,0.0,0.0,0.0
72,150,18,150.0,12.0,150.0,7.95,150.0,16.049999999999983,1826,2642.0,615.2,4630.2,0,0.0,0.0,0.0
73,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,1864,2642.0,615.2,4630.2,0,0.0,0.0,0.0
74,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,1888,2642.0,615.2,4630.2,0,0.0,0.0,0.0
75,150,14,150.0,12.0,150.0,7.95,150.0,16.049999999999983,1916,2642.0,615.2,4630.2,0,0.0,0.0,0.0
76,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,1942,2642.0,615.2,4630.2,0,0.0,0.0,0.0
77,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,1981,2642.0,615.2,4630.2,0,0.0,0.0,0.0
78,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2019,2642.0,615.2,4630.2,0,0.0,0.0,0.0
79,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2049,2642.0,615.2,4630.2,0,0.0,0.0,0.0
80,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2077,2642.0,615.2,4630.2,0,0.0,0.0,0.0
81,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2116,2642.0,615.2,4630.2,0,0.0,0.0,0.0
82,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2142,2642.0,615.2,4630.2,0,0.0,0.0,0.0
83,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2158,2642.0,615.2,4630.2,0,0.0,0.0,0.0
84,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2180,2642.0,615.2,4630.2,0,0.0,0.0,0.0
85,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2218,2642.0,615.2,4630.2,0,0.0,0.0,0.0
86,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2245,2642.0,615.2,4630.2,0,0.0,0.0,0.0
87,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2268,2642.0,615.2,4630.2,0,0.0,0.0,0.0
88,150,14,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2290,2642.0,615.2,4630.2,0,0.0,0.0,0.0
89,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2331,2642.0,615.2,4630.2,0,0.0,0.0,0.0
90,150,15,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2369,2642.0,615.2,4630.2,0,0.0,0.0,0.0
91,150,14,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2395,2642.0,615.2,4630.2,0,0.0,0.0,0.0
92,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2435,2642.0,615.2,4630.2,0,0.0,0.0,0.0
93,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2464,2642.0,615.2,4630.2,0,0.0,0.0,0.0
94,150,8,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2487,2642.0,615.2,4630.2,0,0.0,0.0,0.0
95,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2508,2642.0,615.2,4630.2,0,0.0,0.0,0.0
96,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2550,2642.0,615.2,4630.2,0,0.0,0.0,0.0
97,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2568,2642.0,615.2,4630.2,0,0.0,0.0,0.0
98,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2586,2642.0,615.2,4630.2,0,0.0,0.0,0.0
99,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2622,2642.0,615.2,4630.2,0,0.0,0.0,0.0
100,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2662,2642.0,615.2,4630.2,0,0.0,0.0,0.0
101,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2681,2642.0,615.2,4630.2,0,0.0,0.0,0.0
102,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2712,2642.0,615.2,4630.2,0,0.0,0.0,0.0
103,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2742,2642.0,615.2,4630.2,0,0.0,0.0,0.0
104,150,14,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2781,2642.0,615.2,4630.2,0,0.0,0.0,0.0
105,150,14,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2807,2642.0,615.2,4630.2,0,0.0,0.0,0.0
106,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2829,2642.0,615.2,4630.2,0,0.0,0.0,0.0
107,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2849,2642.0,615.2,4630.2,0,0.0,0.0,0.0
108,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2875,2642.0,615.2,4630.2,0,0.0,0.0,0.0
109,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2909,2642.0,615.2,4630.2,0,0.0,0.0,0.0
110,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2939,2642.0,615.2,4630.2,0,0.0,0.0,0.0
111,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,2975,2642.0,615.2,4630.2,0,0.0,0.0,0.0
112,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3007,2642.0,615.2,4630.2,0,0.0,0.0,0.0
113,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3035,2642.0,615.2,4630.2,0,0.0,0.0,0.0
114,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3076,2642.0,615.2,4630.2,0,0.0,0.0,0.0
115,150,8,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3101,2642.0,615.2,4630.2,0,0.0,0.0,0.0
116,150,6,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3132,2642.0,615.2,4630.2,0,0.0,0.0,0.0
