suspects,refuses,cases,deaths,UF
0,2,0,0,BA
0,1,0,0,CE
0,1,0,0,DF
1,0,0,0,ES
2,2,0,0,MG
1,0,0,0,PB
1,0,0,0,PE
0,3,0,0,PR
2,8,0,0,RJ
0,10,0,0,RS
2,4,0,0,SC
11,28,1,0,SP
