suspects,refuses,cases,deaths,UF
3,0,0,0,AC
14,21,1,0,AL
0,7,1,0,AM
1,0,0,0,AP
65,36,2,0,BA
22,59,0,0,CE
81,91,8,0,DF
51,21,1,0,ES
4,49,3,0,GO
6,2,0,0,MA
106,85,2,0,MG
15,16,0,0,MS
8,7,0,0,MT
1,23,0,0,PA
27,11,0,0,PB
18,23,2,0,PE
1,2,0,0,PI
80,50,6,0,PR
95,147,24,0,RJ
14,15,1,0,RN
2,1,0,0,RO
2,0,0,0,RR
66,217,6,0,RS
102,41,6,0,SC
1,11,1,0,SE
1125,551,136,0,SP
3,0,0,0,TO
