suspects,refuses,cases,deaths,UF
7,1,0,0,AL
2,4,0,0,AM
15,32,2,0,BA
13,24,0,0,CE
30,19,1,0,DF
1,12,1,0,ES
4,12,0,0,GO
0,2,0,0,MA
123,17,0,0,MG
6,11,0,0,MS
6,1,0,0,MT
4,5,0,0,PA
3,3,0,0,PB
6,14,0,0,PE
1,2,0,0,PI
20,18,0,0,PR
111,67,2,0,RJ
4,11,0,0,RN
1,0,0,0,RO
88,75,0,0,RS
44,25,0,0,SC
1,1,0,0,SE
184,246,13,0,SP
