suspects,refuses,cases,deaths,UF
3,0,0,0,AC
6,1,1,0,AL
3,4,0,0,AM
46,35,2,0,BA
22,42,0,0,CE
59,24,1,0,DF
1,12,1,0,ES
14,14,0,0,GO
2,2,0,0,MA
122,18,1,0,MG
6,11,0,0,MS
1,7,0,0,MT
5,12,0,0,PA
5,6,0,0,PB
12,22,0,0,PE
1,2,0,0,PI
33,20,0,0,PR
119,85,8,0,RJ
15,13,0,0,RN
2,1,0,0,RO
70,129,1,0,RS
42,28,0,0,SC
2,3,0,0,SE
302,289,19,0,SP
