suspects,refuses,cases,deaths,UF
3,0,0,0,AC
6,7,1,0,AL
1,7,0,0,AM
65,36,2,0,BA
22,59,0,0,CE
75,53,2,0,DF
51,21,1,0,ES
6,46,3,0,GO
6,2,0,0,MA
116,73,2,0,MG
15,16,0,0,MS
6,7,0,0,MT
1,20,0,0,PA
16,6,0,0,PB
18,23,2,0,PE
1,2,0,0,PI
72,34,6,0,PR
76,147,16,0,RJ
12,15,1,0,RN
2,1,0,0,RO
81,203,4,0,RS
77,34,2,0,SC
2,3,0,0,SE
753,529,56,0,SP
2,0,0,0,TO
