suspects,refuses,cases,deaths,UF
3,0,0,0,AC
16,22,1,0,AL
0,7,1,0,AM
2,0,0,0,AP
65,40,2,0,BA
22,60,0,0,CE
107,93,13,0,DF
50,21,1,0,ES
3,54,3,0,GO
6,2,0,0,MA
102,88,5,0,MG
12,19,2,0,MS
14,7,0,0,MT
1,22,0,0,PA
33,15,0,0,PB
18,23,2,0,PE
2,3,0,0,PI
85,83,6,0,PR
96,153,31,0,RJ
14,15,1,0,RN
2,1,0,0,RO
2,0,0,0,RR
119,218,6,0,RS
109,44,7,0,SC
1,11,1,0,SE
1177,623,152,0,SP
3,0,0,0,TO
