suspects,refuses,cases,deaths,UF
3,0,0,0,AC
6,7,1,0,AL
1,7,0,0,AM
65,36,2,0,BA
22,42,0,0,CE
82,44,2,0,DF
51,21,1,0,ES
15,34,0,0,GO
6,2,0,0,MA
117,22,1,0,MG
9,15,0,0,MS
6,7,0,0,MT
5,13,0,0,PA
10,6,0,0,PB
18,23,2,0,PE
1,2,0,0,PI
54,29,6,0,PR
76,146,16,0,RJ
13,15,0,0,RN
2,1,0,0,RO
81,183,4,0,RS
73,34,0,0,SC
2,3,0,0,SE
704,471,42,0,SP
